sample_id,score,Jitter,Shimmer,H1H2,HNR,QValue,SpectralSlope,LowFreqEnergyRatio,HighFreqNoiseRatio,CPP
#g4-1,1.0,0.005996000021696091,0.02133299969136715,15.06021499633789,23.606807708740234,9.5,-0.00012199999764561653,0.9595324993133545,0.02931699901819229,0.16239899396896362
#g4-3-a,3.0,0.005797999911010265,0.014712999574840069,0.8093550205230713,27.96013832092285,10.0,-0.00011000000085914508,0.5170739889144897,0.06455700099468231,0.18528799712657928
#g4-5-a,5.0,0.005654000211507082,0.022327501326799393,-8.83530044555664,25.525421142578125,18.583332061767578,-0.00011999999696854502,0.1021140068769455,0.5411850214004517,0.22999051213264465
a3-1,1.0,0.011020000092685223,0.02420799992978573,-4.227622032165527,19.343469619750977,10.0,-0.00013800000306218863,0.8703699707984924,0.006391999777406454,0.24296000599861145
a3-3-a,3.0,0.005617999937385321,0.0226064994931221,1.4797660112380981,25.356121063232422,11.0,-0.00013000000035390258,0.2003519982099533,0.059317998588085175,0.24982400238513947
a3-5-a,3.0,0.005630999803543091,0.023182999342679977,-4.320778846740723,20.71831703186035,14.0,-0.00013299999409355223,0.19430199265480042,0.21679599583148956,0.3160319924354553
a4-1,1.0,0.005948999896645546,0.019942499697208405,9.48486042022705,24.499238967895508,7.3333330154418945,-0.00011700000322889537,0.8762385249137878,0.0333780013024807,0.16899800300598145
a4-3-a,3.0,0.0,0.014675000682473183,-1.5114229917526245,35.472877502441406,20.0,-9.500000305706635e-05,0.40810149908065796,0.10849300026893616,0.23262348771095276
a4-5-a,5.0,0.005733999889343977,0.017549000680446625,-1.7944284677505493,24.583946228027344,14.0,-0.0001230000052601099,0.27623850107192993,0.22806450724601746,0.1833830028772354
b3-1,1.0,0.005929000210016966,0.01623399928212166,-5.147513389587402,19.022281646728516,11.0,-0.00014099999680183828,0.654994010925293,0.010871999897062778,0.2904599905014038
b3-3-a,3.0,0.002756000030785799,0.01266149990260601,0.16532300412654877,27.26083755493164,11.5,-0.00013099999341648072,0.45944899320602417,0.08422699570655823,0.3288480043411255
b3-5-a,3.0,0.005696999840438366,0.015876000747084618,0.8810559511184692,22.264816284179688,15.333333015441895,-0.00012799999967683107,0.11944600194692612,0.2741680145263672,0.3680019974708557
b4-1,1.0,0.006010000128298998,0.02660300023853779,4.096382141113281,23.279857635498047,11.5,-0.00011800000356743112,0.4850994944572449,0.021033499389886856,0.16709700226783752
b4-3-a,3.0,0.005781000014394522,0.02368849888443947,4.331718921661377,28.04901885986328,11.5,-0.00011700000322889537,0.5995039939880371,0.028667999431490898,0.21300800144672394
c4-1,1.0,0.00599699979647994,0.0163589995354414,-3.0501248836517334,20.718311309814453,8.333333015441895,-0.0001289999927394092,0.446492999792099,0.00900499988347292,0.2517635226249695
c4-3-a,3.0,0.0,0.011649000458419323,-2.067747116088867,23.956127166748047,12.333333015441895,-0.00013000000035390258,0.2725670039653778,0.05005799978971481,0.21686099469661713
c4-5-a,3.0,0.0,0.011020000092685223,-0.5078859925270081,24.71090316772461,12.5,-0.00011899999663000926,0.22154149413108826,0.1903890073299408,0.37551450729370117
c5-1,1.0,0.0059899999760091305,0.03663700073957443,9.509187698364258,30.749835968017578,12.0,-0.00010699999984353781,0.006515500135719776,0.0680684968829155,0.20433500409126282
c5-3-a,3.0,0.005754999816417694,0.02377450093626976,1.0400710105895996,32.98626708984375,16.0,-0.00010699999984353781,0.02479100041091442,0.21111099421977997,0.2643750011920929
c5-5-a,5.0,0.0,0.017335999757051468,1.4347620010375977,29.865936279296875,12.5,-0.00011800000356743112,0.01723800040781498,0.08310049772262573,0.2724825143814087
d4-1,1.0,0.011169999837875366,0.02633950114250183,3.2377219200134277,12.590642929077148,7.0,-0.00012700000661425292,0.6758835315704346,0.002324500121176243,0.2856454849243164
d4-3-a,3.0,0.005716000217944384,0.014582999981939793,-0.6967660188674927,22.51412582397461,13.5,-0.00012599999899975955,0.1625095009803772,0.04619000107049942,0.40505450963974
d4-5-a,3.0,0.0,0.013651000335812569,-4.074366092681885,24.99664306640625,13.666666984558105,-0.00013000000035390258,0.1101514995098114,0.1717270016670227,0.35709699988365173
e4-1,1.0,0.006126000080257654,0.02863200008869171,7.873623371124268,16.49411392211914,7.5,-0.00013099999341648072,0.8215889930725098,0.006833000108599663,0.3012079894542694
e4-3-a,3.0,0.005710000172257423,0.021516000851988792,-4.714825630187988,27.181808471679688,9.666666984558105,-0.00011600000289035961,0.41769349575042725,0.028931500390172005,0.34057849645614624
e4-5-a,5.0,0.0,0.008894000202417374,-6.5862321853637695,29.185012817382812,15.0,-0.00012199999764561653,0.05682599917054176,0.14752249419689178,0.39029449224472046
f3-1,1.0,0.005778000224381685,0.01536799967288971,-4.746606826782227,17.083412170410156,9.666666984558105,-0.000155999994603917,0.22633999586105347,0.004648000001907349,0.21651500463485718
f3-3-a,3.0,0.005729000084102154,0.016111500561237335,-3.2285399436950684,18.882274627685547,12.5,-0.0001720000000204891,0.13724499940872192,0.12452900409698486,0.27045199275016785
f3-5-a,5.0,0.00559299997985363,0.014713999815285206,-4.6095781326293945,20.89563751220703,16.416667938232422,-0.0001539999939268455,0.102121502161026,0.24752099812030792,0.2808625102043152
f4-1,1.0,0.011025000363588333,0.02728099934756756,12.248023986816406,15.600809097290039,8.0,-0.00013299999409355223,0.9355524778366089,0.0069610001519322395,0.3341745138168335
f4-3-a,3.0,0.00571900000795722,0.016835499554872513,-7.450199127197266,30.73300552368164,10.666666984558105,-0.00011500000255182385,0.13927599787712097,0.12642300128936768,0.3757619857788086
f4-5-a,5.0,0.0,0.014205999672412872,-7.484749794006348,29.47246742248535,16.0,-0.00011200000153621659,0.12479200214147568,0.2608959972858429,0.41640400886535645
