特征组合,特征维度,样本数,准确率,宏平均F1,CV准确率均值,CV准确率标准差,CV宏F1均值,CV宏F1标准差
Centroid+SpectralSlope+Mfcc3,10,100,0.6333,0.6142,0.69,0.1446,0.6648,0.156
Jitter+H1H2+Mfcc3,10,100,0.6,0.5974,0.69,0.1375,0.6698,0.1489
Jitter+Shimmer+RMS,6,100,0.6667,0.6578,0.68,0.1166,0.6658,0.132
Centroid+H1H2+SpectralSlope+Mfcc3,12,100,0.6667,0.6478,0.68,0.1778,0.6491,0.1938
Centroid+SpectralSlope,4,100,0.6333,0.5942,0.68,0.0748,0.5827,0.106
Centroid+H1H2+SpectralSlope,6,100,0.6333,0.5942,0.68,0.0748,0.5827,0.106
Centroid+Mfcc3,8,100,0.6,0.5662,0.68,0.14,0.6386,0.1648
Jitter+RMS+H1H2+SpectralSlope,8,100,0.6,0.5985,0.68,0.1536,0.6737,0.1451
Jitter+RMS,4,100,0.5333,0.5229,0.68,0.1536,0.6591,0.1773
Shimmer+Centroid,4,100,0.6333,0.5942,0.67,0.1187,0.5779,0.1398
Jitter+RMS+H1H2,6,100,0.6333,0.6326,0.67,0.1487,0.6672,0.1395
Shimmer+RMS+Centroid+H1H2,8,100,0.6333,0.6066,0.67,0.064,0.5778,0.0821
RMS+Centroid,4,100,0.5667,0.5353,0.67,0.09,0.5773,0.1186
Jitter+H1H2+SpectralSlope+Mfcc3,12,100,0.5667,0.5879,0.67,0.1487,0.6453,0.1624
Shimmer+RMS+Centroid,6,100,0.5333,0.5104,0.67,0.1005,0.5647,0.1269
Shimmer+Centroid+SpectralSlope,6,100,0.6667,0.6567,0.66,0.0917,0.5623,0.1175
Shimmer+SpectralSlope+Mfcc3,10,100,0.6667,0.6199,0.66,0.1497,0.6146,0.1734
Shimmer+H1H2+SpectralSlope+Mfcc3,12,100,0.6333,0.6294,0.66,0.1497,0.6145,0.1736
Centroid+H1H2+Mfcc3,10,100,0.6,0.5945,0.66,0.1562,0.606,0.1745
Shimmer+Centroid+H1H2+SpectralSlope,8,100,0.6667,0.6567,0.65,0.0922,0.5577,0.1172
Jitter+SpectralSlope+Mfcc3,10,100,0.6,0.6127,0.65,0.15,0.639,0.1549
RMS+SpectralSlope,4,100,0.6333,0.6132,0.64,0.1497,0.5734,0.1614
RMS+Centroid+H1H2,6,100,0.6333,0.6132,0.64,0.1356,0.5493,0.1228
Shimmer+Centroid+H1H2,6,100,0.6667,0.6501,0.63,0.09,0.5179,0.1077
Jitter+Mfcc3,8,100,0.6,0.5974,0.63,0.1418,0.6021,0.1678
Centroid+H1H2,4,100,0.6,0.5923,0.62,0.1327,0.514,0.1363
Shimmer+RMS+H1H2,6,100,0.6333,0.5948,0.61,0.1044,0.5288,0.0777
RMS+H1H2+SpectralSlope,6,100,0.6333,0.6182,0.61,0.1221,0.5437,0.1288
Shimmer+RMS+SpectralSlope,6,100,0.6,0.5873,0.61,0.0943,0.541,0.1071
Shimmer+RMS,4,100,0.6,0.5368,0.59,0.1044,0.4668,0.0833
Shimmer+RMS+H1H2+SpectralSlope,8,100,0.6333,0.6182,0.58,0.098,0.5142,0.0981
Shimmer+H1H2,4,100,0.6,0.449,0.57,0.064,0.4165,0.0569
Shimmer+SpectralSlope,4,100,0.6,0.525,0.57,0.1005,0.4843,0.1427
Jitter+SpectralSlope,4,100,0.5333,0.5501,0.57,0.1187,0.5818,0.1054
Shimmer+H1H2+SpectralSlope,6,100,0.6333,0.5965,0.55,0.1285,0.4699,0.1601
RMS+H1H2,4,100,0.6,0.5636,0.55,0.136,0.4486,0.144
Jitter+H1H2,4,100,0.5667,0.5549,0.55,0.1118,0.5259,0.1244
H1H2+Mfcc3,8,100,0.5,0.4909,0.55,0.2062,0.5092,0.238
H1H2+SpectralSlope+Mfcc3,10,100,0.4667,0.4606,0.54,0.1744,0.4844,0.1941
SpectralSlope+Mfcc3,8,100,0.5667,0.5744,0.52,0.1833,0.4634,0.1967
Jitter+H1H2+SpectralSlope,6,100,0.5,0.476,0.5,0.1095,0.4885,0.1123
H1H2+SpectralSlope,4,100,0.3333,0.2749,0.3,0.1673,0.2011,0.1162
